epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,2119.03,0.52585,0.24625,0.92863,0.7259,0.40742,0.48984,0.23291,0.51934,0.23318,0.94794,0.00578256,0.00578256,0.00578256
146,2135.76,0.52952,0.24512,0.93167,0.7335,0.40712,0.49747,0.23748,0.51586,0.23554,0.94727,0.00573551,0.00573551,0.00573551
147,2149.69,0.52885,0.24527,0.93004,0.73807,0.40604,0.4956,0.23223,0.5252,0.23351,0.94973,0.00568844,0.00568844,0.00568844
148,2161.9,0.51653,0.23843,0.93554,0.73089,0.41337,0.49969,0.23926,0.5122,0.22815,0.94587,0.00564135,0.00564135,0.00564135
149,2174.14,0.51785,0.23622,0.93406,0.74798,0.40788,0.498,0.23669,0.51573,0.23127,0.94635,0.00559424,0.00559424,0.00559424
150,2186.42,0.52919,0.24659,0.93473,0.72976,0.40925,0.49327,0.23206,0.52717,0.23455,0.95011,0.00554712,0.00554712,0.00554712
151,2201.78,0.53432,0.24639,0.93422,0.7394,0.40756,0.49641,0.2382,0.51523,0.23105,0.94676,0.0055,0.0055,0.0055
152,2214.09,0.52587,0.24305,0.9316,0.74144,0.40437,0.49048,0.23296,0.51375,0.23065,0.94676,0.00545288,0.00545288,0.00545288
153,2227.18,0.52567,0.24092,0.92699,0.73794,0.40009,0.49096,0.23302,0.52204,0.23385,0.94638,0.00540576,0.00540576,0.00540576
154,2242.9,0.52412,0.24269,0.93015,0.73559,0.40085,0.49007,0.2338,0.51801,0.23237,0.9461,0.00535865,0.00535865,0.00535865
155,2256.56,0.52526,0.24463,0.93041,0.73979,0.40666,0.49519,0.23534,0.51635,0.22961,0.947,0.00531156,0.00531156,0.00531156
156,2268.87,0.53099,0.24374,0.93051,0.7274,0.41215,0.49311,0.23714,0.51005,0.22855,0.94642,0.00526449,0.00526449,0.00526449
157,2280.9,0.52335,0.24078,0.92507,0.7297,0.41246,0.5,0.24079,0.50944,0.22687,0.94538,0.00521744,0.00521744,0.00521744
158,2295.88,0.52443,0.24478,0.92779,0.7386,0.4123,0.49608,0.23839,0.50513,0.22597,0.94438,0.00517043,0.00517043,0.00517043
159,2316.45,0.52515,0.24122,0.92757,0.73442,0.40833,0.48958,0.2333,0.51861,0.23101,0.94878,0.00512345,0.00512345,0.00512345
160,2336.84,0.52627,0.24094,0.92626,0.73308,0.40879,0.4931,0.2343,0.51267,0.23151,0.94575,0.00507651,0.00507651,0.00507651
161,2353.39,0.50896,0.2327,0.92763,0.73161,0.40956,0.49316,0.24046,0.50295,0.22652,0.94418,0.00502962,0.00502962,0.00502962
162,2365.8,0.50581,0.22957,0.92711,0.72735,0.4091,0.49371,0.23378,0.51713,0.23135,0.94825,0.00498278,0.00498278,0.00498278
163,2377.96,0.52485,0.24131,0.92523,0.73087,0.40833,0.49991,0.24108,0.50748,0.22932,0.94539,0.004936,0.004936,0.004936
164,2390.19,0.51144,0.23276,0.92685,0.71251,0.41169,0.50003,0.2425,0.51249,0.23384,0.94585,0.00488928,0.00488928,0.00488928
165,2409.48,0.51831,0.24013,0.92609,0.719,0.41001,0.49196,0.23692,0.51475,0.23303,0.94705,0.00484263,0.00484263,0.00484263
166,2430.05,0.52022,0.23572,0.9296,0.73055,0.41139,0.49964,0.23823,0.51706,0.22999,0.9476,0.00479604,0.00479604,0.00479604
167,2450.97,0.52182,0.23972,0.92841,0.72687,0.41477,0.50084,0.23606,0.52744,0.2348,0.95007,0.00474954,0.00474954,0.00474954
168,2462.55,0.5077,0.2309,0.92988,0.70877,0.41307,0.49173,0.23499,0.51522,0.23169,0.94568,0.00470312,0.00470312,0.00470312
169,2474.7,0.51808,0.23686,0.92459,0.73578,0.41398,0.50123,0.24219,0.50563,0.226,0.94312,0.00465678,0.00465678,0.00465678
170,2486.84,0.51675,0.23584,0.92435,0.72969,0.4149,0.50038,0.24118,0.51097,0.22775,0.9445,0.00461054,0.00461054,0.00461054
171,2498.87,0.49791,0.2288,0.92369,0.72657,0.41612,0.50237,0.24094,0.52059,0.23092,0.9481,0.0045644,0.0045644,0.0045644
172,2511.23,0.51545,0.23912,0.92186,0.73693,0.41566,0.50237,0.24196,0.50975,0.22676,0.94355,0.00451836,0.00451836,0.00451836
173,2523.43,0.50881,0.23298,0.92654,0.74199,0.41429,0.50143,0.24509,0.50247,0.22332,0.94253,0.00447242,0.00447242,0.00447242
174,2535.82,0.50843,0.23207,0.92421,0.75718,0.41139,0.50694,0.24571,0.50457,0.22392,0.94321,0.0044266,0.0044266,0.0044266
175,2548.1,0.51214,0.23659,0.92323,0.73351,0.41302,0.50276,0.24277,0.51188,0.22721,0.94463,0.0043809,0.0043809,0.0043809
176,2560.3,0.52322,0.24143,0.92361,0.7131,0.41719,0.49781,0.23879,0.51195,0.2315,0.94423,0.00433531,0.00433531,0.00433531
177,2572.51,0.49917,0.22917,0.92333,0.72702,0.41468,0.50316,0.24319,0.51341,0.23065,0.94581,0.00428986,0.00428986,0.00428986
178,2584.8,0.50966,0.23158,0.92271,0.75158,0.41459,0.50806,0.2473,0.5058,0.22703,0.94362,0.00424454,0.00424454,0.00424454
